t_s,theta_pll_rad,theta_ref_rad,theta_err_rad
0,0,0,0
0.0002,0.0753982236862298,0.075398223686155,7.47735207085043e-14
0.0004,0.150238013527064,0.15079644737231,-0.000558433845246065
0.0006,0.225161743442195,0.226194671058465,-0.00103292761627033
0.0008,0.301191662644635,0.30159289474462,-0.000401232099985438
0.001,0.378190885235278,0.376991118430775,0.00119976680450246
0.0012,0.454049813321627,0.45238934211693,0.00166047120469626
0.0014,0.526232418137081,0.527787565803085,-0.0015551476660044
0.0016,0.593931848033452,0.60318578948924,-0.00925394145578862
0.0018,0.65826807476597,0.678584013175395,-0.0203159384094255
0.002,0.720442384334652,0.75398223686155,-0.033539852526898
0.0022,0.780417079337586,0.829380460547705,-0.048963381210119
0.0024,0.837102770112935,0.904778684233861,-0.0676759141209256
0.0026,0.890139037641575,0.980176907920016,-0.0900378702784406
0.0028,0.940830517606121,1.05557513160617,-0.11474461400005
0.003,0.991239841959062,1.13097335529233,-0.139733513333264
0.0032,1.04260982989693,1.20637157897848,-0.16376174908155
0.0034,1.0949646351917,1.28176980266464,-0.186805167472938
0.0036,1.14806798958919,1.35716802635079,-0.209100036761599
0.0038,1.20240562924928,1.43256625003695,-0.230160620787667
0.004,1.25909026186897,1.5079644737231,-0.248874211854129
0.0042,1.31840268703874,1.58336269740926,-0.264960010370519
0.0044,1.37952040691937,1.65876092109541,-0.279240514176045
0.0046,1.4411593048365,1.73415914478157,-0.292999839945064
0.0048,1.50272564263209,1.80955736846772,-0.306831725835634
0.005,1.56465012197931,1.88495559215388,-0.320305470174562
0.0052,1.62759505090245,1.96035381584003,-0.332758764937584
0.0054,1.69173128686491,2.03575203952619,-0.344020752661275
0.0056,1.75671658680229,2.11115026321234,-0.354433676410048
0.0058,1.82210566774745,2.1865484868985,-0.36444281915105
0.006,1.88796717284144,2.26194671058465,-0.373979537743214
0.0062,1.95467995698019,2.33734493427081,-0.382664977290616
0.0064,2.02239533999163,2.41274315795696,-0.390347817965336
0.0066,2.0908461097721,2.48814138164312,-0.397295271871014
0.0068,2.15960287273129,2.56353960532927,-0.403936732597979
0.007,2.22849970447899,2.63893782901543,-0.41043812453644
0.0072,2.29767825898858,2.71433605270158,-0.416657793712999
0.0074,2.36728539037375,2.78973427638774,-0.422448886013983
0.0076,2.43733711249299,2.86513250007389,-0.4277953875809
0.0078,2.50785197046323,2.94053072376005,-0.432678753296814
0.008,2.57889312190033,3.0159289474462,-0.437035825545875
0.0082,2.65050485657479,3.09132717113236,-0.440822314557562
0.0084,2.72263315201232,3.16672539481851,-0.444092242806191
0.0086,2.79525116048571,3.24212361850467,-0.446872458018954
0.0088,2.86828926116482,3.31752184219082,-0.449232581026003
0.009,2.94157797322464,3.39292006587698,-0.451342092652337
0.0092,3.01490169399574,3.46831828956313,-0.453416595567389
0.0094,3.08816231339939,3.54371651324929,-0.4555541998499
0.0096,3.16151423290653,3.61911473693544,-0.457600504028916
0.0098,3.23528487214826,3.6945129606216,-0.459228088473336
0.01,3.30976500980425,3.76991118430775,-0.460146174503499
0.0102,3.38498913154064,3.84530940799391,-0.460320276453265
0.0104,3.46046605804404,3.92070763168006,-0.46024157363602
0.0106,3.53605629894805,3.99610585536622,-0.460049556418171
0.0108,3.61152725737991,4.07150407905237,-0.459976821672461
0.011,3.68689035105581,4.14690230273853,-0.460011951682718
0.0112,3.76215783046134,4.22230052642468,-0.460142695963341
0.0114,3.83731551216552,4.29769875011084,-0.460383237945321
0.0116,3.91244351782327,4.37309697379699,-0.460653455973718
0.0118,3.98787499726717,4.44849519748315,-0.460620200215977
0.012,4.06388558860131,4.5238934211693,-0.460007832567996
0.0122,4.14065358731254,4.59929164485546,-0.458638057542917
0.0124,4.2182162116797,4.67468986854161,-0.456473656861917
0.0126,4.29644737966109,4.75008809222777,-0.453640712566673
0.0128,4.3752115864232,4.82548631591392,-0.450274729490722
0.013,4.45449579292121,4.90088453960008,-0.446388746678871
0.0132,4.5343999121919,4.97628276328623,-0.441882851094337
0.0134,4.61492304406774,5.05168098697239,-0.436757942904647
0.0136,4.69590004350725,5.12707921065854,-0.431179167151291
0.0138,4.77711508769769,5.2024774343447,-0.425362346647009
0.014,4.85840162642366,5.27787565803085,-0.419474031607196
0.0142,4.93974683004753,5.35327388171701,-0.413527051669482
0.0144,5.02118504474843,5.42867210540316,-0.407487060654734
0.0146,5.10270786051542,5.50407032908932,-0.401362468573902
0.0148,5.18420688721701,5.57946855277547,-0.395261665558461
