t_s,theta_pll_rad,theta_ref_rad,theta_err_rad
0,0,0,0
0.0002,0.0753982236861531,0.075398223686155,-1.94289029309402e-15
0.0004,0.148076870737662,0.15079644737231,-0.00271957663464811
0.0006,0.221642500820362,0.226194671058465,-0.00455217023810278
0.0008,0.300718736103147,0.30159289474462,-0.000874158641472667
0.001,0.383497911135643,0.376991118430775,0.00650679270486776
0.0012,0.459424639791848,0.45238934211693,0.0070352976749179
0.0014,0.517310588266747,0.527787565803085,-0.0104769775363379
0.0016,0.554781442910021,0.60318578948924,-0.0484043465792191
0.0018,0.578365947606393,0.678584013175395,-0.100218065569003
0.002,0.594603968781214,0.75398223686155,-0.159378268080337
0.0022,0.604038611481066,0.829380460547705,-0.22534184906664
0.0024,0.602810268792157,0.904778684233861,-0.301968415441703
0.0026,0.591489855633426,0.980176907920016,-0.38868705228659
0.0028,0.579172201178684,1.05557513160617,-0.476402930427487
0.003,0.575844347232562,1.13097335529233,-0.555129008059763
0.0032,0.584376415812333,1.20637157897848,-0.621995163166148
0.0034,0.601968576924111,1.28176980266464,-0.679801225740524
0.0036,0.627314018626112,1.35716802635079,-0.729854007724679
0.0038,0.664916667595391,1.43256625003695,-0.767649582441555
0.004,0.720641061065517,1.5079644737231,-0.787323412657584
0.0042,0.793988638238072,1.58336269740926,-0.789374059171184
0.0044,0.880034410874999,1.65876092109541,-0.778726510220412
0.0046,0.972811946155176,1.73415914478157,-0.76134719862639
0.0048,1.06909588666189,1.80955736846772,-0.740461481805831
0.005,1.16968303330366,1.88495559215388,-0.715272558850215
0.0052,1.27492950773642,1.96035381584003,-0.685424308103607
0.0054,1.38175840001506,2.03575203952619,-0.653993639511129
0.0056,1.48627450638394,2.11115026321234,-0.624875756828401
0.0058,1.58754922056052,2.1865484868985,-0.598999266337976
0.006,1.68841203518554,2.26194671058465,-0.573534675399113
0.0062,1.79172959812864,2.33734493427081,-0.545615336142165
0.0064,1.89713510767611,2.41274315795696,-0.515608050280853
0.0066,2.00188377183041,2.48814138164312,-0.486257609812709
0.0068,2.10364207139632,2.56353960532927,-0.459897533932953
0.007,2.20196160061179,2.63893782901543,-0.43697622840364
0.0072,2.297899699572,2.71433605270158,-0.416436353129579
0.0074,2.39217863288188,2.78973427638774,-0.397555643505853
0.0076,2.48498687756103,2.86513250007389,-0.380145622512858
0.0078,2.57661562205602,2.94053072376005,-0.36391510170403
0.008,2.66801279271261,3.0159289474462,-0.347916154733593
0.0082,2.75969519747867,3.09132717113236,-0.331631973653687
0.0084,2.85095081473451,3.16672539481851,-0.315774580084001
0.0086,2.94119545317899,3.24212361850467,-0.300928165325677
0.0088,3.03017405458332,3.31752184219082,-0.287347787607506
0.009,3.11745518623452,3.39292006587698,-0.275464879642456
0.0092,3.20277068486737,3.46831828956313,-0.265547604695757
0.0094,3.28726931781219,3.54371651324929,-0.256447195437099
0.0096,3.37336173682351,3.61911473693544,-0.245753000111931
0.0098,3.46302283692011,3.6945129606216,-0.231490123701488
0.01,3.55642108440636,3.76991118430775,-0.213490099901394
0.0102,3.6516399250237,3.84530940799391,-0.193669482970203
0.0104,3.74602607598289,3.92070763168006,-0.174681555697174
0.0106,3.83856773049843,3.99610585536622,-0.157538124867782
0.0108,3.92827422149489,4.07150407905237,-0.143229857557482
0.011,4.0150910834816,4.14690230273853,-0.131811219256926
0.0112,4.09904006540963,4.22230052642468,-0.123260461015057
0.0114,4.17970603876897,4.29769875011084,-0.117992711341868
0.0116,4.25811036352238,4.37309697379699,-0.114986610274611
0.0118,4.33627307040417,4.44849519748315,-0.112222127078976
0.012,4.41550486683181,4.5238934211693,-0.108388554337495
0.0122,4.49551335809745,4.59929164485546,-0.10377828675801
0.0124,4.57571367250585,4.67468986854161,-0.0989761960357676
0.0126,4.65529805168141,4.75008809222777,-0.0947900405463606
0.0128,4.73453559775418,4.82548631591392,-0.0909507181597418
0.013,4.81413220026749,4.90088453960008,-0.086752339332592
0.0132,4.89495114608254,4.97628276328623,-0.0813316172036922
0.0134,4.97740777003257,5.05168098697239,-0.0742732169398206
0.0136,5.0609850613872,5.12707921065854,-0.0660941492713407
0.0138,5.14522302055997,5.2024774343447,-0.0572544137847295
0.014,5.23026178476386,5.27787565803085,-0.0476138732669966
0.0142,5.31631139404257,5.35327388171701,-0.0369624876744377
0.0144,5.40317324815403,5.42867210540316,-0.0254988572491328
0.0146,5.4903562307175,5.50407032908932,-0.0137140983718185
0.0148,5.57727725827214,5.57946855277547,-0.00219129450333444
0.015,5.66349507830842,5.65486677646163,0.00862830184678831
0.0152,5.74880478180741,5.73026500014778,0.0185397816596264
0.0154,5.83275764396729,5.80566322383394,0.0270944201333547
0.0156,5.91481798078439,5.88106144752009,0.0337565332643015
0.0158,5.99450692483626,5.95645967120625,0.0380472536300083
0.016,6.07144505338611,6.0318578948924,0.0395871584937035
0.0162,6.14564859816263,6.10725611857856,0.0383924795840747
0.0164,6.21758782255636,6.18265434226471,0.034933480291647
0.0166,0.00485084475236253,6.25805256595087,0.0299835859810811
0.0168,0.0748344870068105,6.04128589424959,0.316733899936803
0.017,0.145256922130641,6.11784635951926,0.31059586979097
0.0172,0.216644889979103,6.19632275830998,0.303507438848712
0.0174,0.289423736428559,6.27606186757902,0.296547176029125
0.0176,0.364050344006608,0.0743518964050455,0.289698447601562
0.0178,0.440481904701324,0.158778218532193,0.28170368616913
0.018,0.518136173786916,0.246435352959104,0.271700820827812
0.0182,0.596176772402962,0.335995718757012,0.26018105364595
0.0184,0.674059263997748,0.425581124333438,0.24847813966431
0.0186,0.75169620829422,0.514270059240877,0.237426149053343
0.0188,0.829429783556714,0.602220631358452,0.227209152198262
0.019,0.907620531517834,0.689840025781254,0.21778050573658
0.0192,0.986390523135438,0.776854519691853,0.209536003443585
