t_s,theta_pll_rad,theta_ref_rad,theta_err_rad
0,0,0,0
0.0002,0.0753982236550781,0.075398223686155,-3.10769743272488e-11
0.0004,0.148004316882536,0.15079644737231,-0.00279213048977406
0.0006,0.221019145811587,0.226194671058465,-0.00517552524687856
0.0008,0.299535376799806,0.30159289474462,-0.00205751794481401
0.001,0.38292466749909,0.376991118430775,0.00593354906831473
0.0012,0.460616642485619,0.45238934211693,0.00822730036868868
0.0014,0.519790507065768,0.527787565803085,-0.00799705873731749
0.0016,0.556959771428085,0.60318578948924,-0.0462260180611552
0.0018,0.579351585254912,0.678584013175395,-0.0992324279204829
0.002,0.594748148601176,0.75398223686155,-0.159234088260374
0.0022,0.604023593199054,0.829380460547705,-0.225356867348651
0.0024,0.603119156960966,0.904778684233861,-0.301659527272894
0.0026,0.592191462372001,0.980176907920016,-0.387985445548014
0.0028,0.579319900266576,1.05557513160617,-0.476255231339594
0.003,0.574459593779177,1.13097335529233,-0.556513761513148
0.0032,0.582016741128809,1.20637157897848,-0.624354837849671
0.0034,0.600348264271558,1.28176980266464,-0.681421538393077
0.0036,0.627140165001424,1.35716802635079,-0.730027861349367
0.0038,0.665389401923931,1.43256625003695,-0.767176848113014
0.004,0.720452849462193,1.5079644737231,-0.787511624260908
0.0042,0.793334642931331,1.58336269740926,-0.790028054477925
0.0044,0.880062187416921,1.65876092109541,-0.77869873367849
0.0046,0.973838539210547,1.73415914478157,-0.760320605571019
0.0048,1.07008293199308,1.80955736846772,-0.739474436474638
0.005,1.16928799121274,1.88495559215388,-0.71566760094114
0.0052,1.27286552813222,1.96035381584003,-0.687488287707812
0.0054,1.37912413486674,2.03575203952619,-0.656627904659443
0.0056,1.48479291123459,2.11115026321234,-0.626357351977753
0.0058,1.58783544305628,2.1865484868985,-0.598713043842214
0.006,1.68945194323049,2.26194671058465,-0.572494767354165
0.0062,1.79218764663208,2.33734493427081,-0.545157287638722
0.0064,1.89669452151922,2.41274315795696,-0.516048636437737
0.0066,2.00106055711648,2.48814138164312,-0.487080824526635
0.0068,2.10284599875231,2.56353960532927,-0.460693606576957
0.007,2.20120979942592,2.63893782901543,-0.437728029589511
0.0072,2.29712893213785,2.71433605270158,-0.417207120563734
0.0074,2.39145244988298,2.78973427638774,-0.398281826504761
0.0076,2.4844264639093,2.86513250007389,-0.380706036164594
0.0078,2.57624060376414,2.94053072376005,-0.364290119995911
0.008,2.66768614363726,3.0159289474462,-0.348242803808946
0.0082,2.75927298737163,3.09132717113236,-0.332054183760727
0.0084,2.8504349209009,3.16672539481851,-0.316290473917608
0.0086,2.94062456906906,3.24212361850467,-0.301499049435604
0.0088,3.02952094340692,3.31752184219082,-0.2880008987839
0.009,3.11687779566005,3.39292006587698,-0.276042270216931
0.0092,3.20276139901408,3.46831828956313,-0.265556890549055
0.0094,3.28814708551522,3.54371651324929,-0.255569427734062
0.0096,3.37469027317461,3.61911473693544,-0.244424463760828
0.0098,3.46390537471234,3.6945129606216,-0.230607585909259
0.01,3.55637096750439,3.76991118430775,-0.213540216803366
0.0102,3.65091360551067,3.84530940799391,-0.194395802483236
0.0104,3.74497968052819,3.92070763168006,-0.175727951151871
0.0106,3.83748748782754,3.99610585536622,-0.158618367538677
0.0108,3.92718275039165,4.07150407905237,-0.144321328660719
0.011,4.0140184039108,4.14690230273853,-0.132883898827725
0.0112,4.09848088257688,4.22230052642468,-0.123819643847801
0.0114,4.18004664819322,4.29769875011084,-0.117652101917614
0.0116,4.25923761900763,4.37309697379699,-0.113859354789362
0.0118,4.3374268011845,4.44849519748315,-0.11106839629865
0.012,4.41593428362221,4.5238934211693,-0.107959137547094
0.0122,4.49513490124307,4.59929164485546,-0.104156743612388
0.0124,4.5751492512539,4.67468986854161,-0.0995406172877091
0.0126,4.65523136155846,4.75008809222777,-0.0948567306693091
0.0128,4.73510714186746,4.82548631591392,-0.0903791740464586
0.013,4.81502696708732,4.90088453960008,-0.0858575725127562
0.0132,4.89585797701709,4.97628276328623,-0.0804247862691465
0.0134,4.9783026493735,5.05168098697239,-0.0733783375988892
0.0136,5.06202980445217,5.12707921065854,-0.0650494062063709
0.0138,5.1464784796142,5.2024774343447,-0.0559989547304962
0.014,5.23157778166268,5.27787565803085,-0.0462978763681701
0.0142,5.31748283323249,5.35327388171701,-0.0357910484845183
0.0144,5.40414240139701,5.42867210540316,-0.0245297040061505
0.0146,5.49121014202346,5.50407032908932,-0.0128601870658525
0.0148,5.57809140790349,5.57946855277547,-0.00137714487198348
0.015,5.66424779140613,5.65486677646163,0.00938101494450283
0.0152,5.74941090558252,5.73026500014778,0.0191459054347369
0.0154,5.83312635661549,5.80566322383394,0.0274631327815502
0.0156,5.91491832127828,5.88106144752009,0.0338568737581859
0.0158,5.99443744522884,5.95645967120625,0.0379777740225924
0.016,6.07140401952705,6.0318578948924,0.0395461246346418
0.0162,6.14578451368463,6.10725611857856,0.0385283951060735
