t_s,theta_pll_rad,theta_ref_rad,theta_err_rad
0,0,0,0
0.0002,0.0753982236799396,0.075398223686155,-6.21540319212244e-12
0.0004,0.150238021274359,0.15079644737231,-0.000558426097950704
0.0006,0.225161871687861,0.226194671058465,-0.00103279937060413
0.0008,0.301192205685769,0.30159289474462,-0.000400689058851267
0.001,0.378192190965893,0.376991118430775,0.00120107253511803
0.0012,0.45405190526956,0.45238934211693,0.00166256315263008
0.0014,0.526234708433784,0.527787565803085,-0.00155285736930122
0.0016,0.593933381696744,0.60318578948924,-0.0092524077924967
0.0018,0.658268067779175,0.678584013175395,-0.0203159453962207
0.002,0.72044050253232,0.75398223686155,-0.0335417343292305
0.0022,0.780413235653471,0.829380460547705,-0.0489672248942348
0.0024,0.837096744755087,0.904778684233861,-0.0676819394787732
0.0026,0.890130473644462,0.980176907920016,-0.0900464342755534
0.0028,0.940819296169487,1.05557513160617,-0.114755835436684
0.003,0.991226311924449,1.13097335529233,-0.139747043367876
0.0032,1.04259462021249,1.20637157897848,-0.163776958765989
0.0034,1.09494830171165,1.28176980266464,-0.186821500952991
0.0036,1.14805094486023,1.35716802635079,-0.209117081490561
0.0038,1.2023884214856,1.43256625003695,-0.230177828551346
0.004,1.25907374734938,1.5079644737231,-0.248890726373721
0.0042,1.31838776421236,1.58336269740926,-0.264974933196897
0.0044,1.37950757279186,1.65876092109541,-0.279253348303553
0.0046,1.44114855119904,1.73415914478157,-0.293010593582524
0.0048,1.50271684612255,1.80955736846772,-0.306840522345175
0.005,1.56464349683013,1.88495559215388,-0.320312095323744
0.0052,1.62759115477083,1.96035381584003,-0.3327626610692
0.0054,1.69173060639343,2.03575203952619,-0.344021433132753
0.0056,1.75671918311065,2.11115026321234,-0.354431080101694
0.0058,1.82211123208556,2.1865484868985,-0.364437254812935
0.006,1.88797536124703,2.26194671058465,-0.373971349337619
0.0062,1.95469061534766,2.33734493427081,-0.38265431892315
0.0064,2.02240844588832,2.41274315795696,-0.390334712068637
0.0066,2.09086160258408,2.48814138164312,-0.397279779059041
0.0068,2.15962060424146,2.56353960532927,-0.403919001087811
0.007,2.22851953227958,2.63893782901543,-0.410418296735846
0.0072,2.2977001324495,2.71433605270158,-0.416635920252086
0.0074,2.36730934089427,2.78973427638774,-0.422424935493471
0.0076,2.43736320436454,2.86513250007389,-0.427769295709353
0.0078,2.50788027984008,2.94053072376005,-0.432650443919967
0.008,2.57892372627706,3.0159289474462,-0.437005221169143
0.0082,2.65053779827583,3.09132717113236,-0.44078937285653
0.0084,2.72266840538935,3.16672539481851,-0.444056989429164
0.0086,2.79528865525525,3.24212361850467,-0.446834963249413
0.0088,2.86832893428332,3.31752184219082,-0.449192907907503
0.009,2.94161977142787,3.39292006587698,-0.451300294449108
0.0092,3.01494551661788,3.46831828956313,-0.453372772945252
0.0094,3.08820799009204,3.54371651324929,-0.455508523157243
0.0096,3.16156161023506,3.61911473693544,-0.457553126700384
0.0098,3.23533393985381,3.6945129606216,-0.459179020767784
0.01,3.3098159229363,3.76991118430775,-0.460095261371452
0.0102,3.38504208431674,3.84530940799391,-0.460267323677167
0.0104,3.46052112504574,3.92070763168006,-0.460186506634321
0.0106,3.53611344514277,3.99610585536622,-0.45999241022345
0.0108,3.61158642685095,4.07150407905237,-0.459917652201419
0.011,3.68695154215529,4.14690230273853,-0.459950760583233
0.0112,3.76222103209333,4.22230052642468,-0.460079494331354
0.0114,3.83738059098426,4.29769875011084,-0.460318159126579
0.0116,3.91251023134833,4.37309697379699,-0.460586742448665
0.0118,3.98795106690862,4.44849519748315,-0.460544130574529
0.012,4.06397648647816,4.5238934211693,-0.459916934691143
0.0122,4.14075934359697,4.59929164485546,-0.458532301258493
0.0124,4.21833795626088,4.67468986854161,-0.456351912280731
0.0126,4.29658730695809,4.75008809222777,-0.453500785269681
0.0128,4.37537080483002,4.82548631591392,-0.450115511083903
0.013,4.45467418433763,4.90088453960008,-0.446210355262446
0.0132,4.53460486543352,4.97628276328623,-0.441677897852712
0.0134,4.61515379860283,5.05168098697239,-0.43652718836956
0.0136,4.69614037680181,5.12707921065854,-0.430938833856731
0.0138,4.77731119399424,5.2024774343447,-0.42516624035046
0.014,4.85853702382213,5.27787565803085,-0.419338634208726
0.0142,4.93982919799578,5.35327388171701,-0.413444683721227
0.0144,5.02122115233746,5.42867210540316,-0.407450953065701
0.0146,5.10270197998233,5.50407032908932,-0.40136834910699
0.0148,5.18415718355562,5.57946855277547,-0.395311369219853
0.015,5.26544757858758,5.65486677646163,-0.389419197874044
0.0152,5.34646070111938,5.73026500014778,-0.3838042990284
0.0154,5.42717528328765,5.80566322383394,-0.378487940546288
0.0156,5.50756366144413,5.88106144752009,-0.37349778607596
0.0158,5.58767562658584,5.95645967120625,-0.368784044620408
0.016,5.66748528075064,6.0318578948924,-0.364372614141763
0.0162,5.74696047977031,6.10725611857856,-0.360295638808251
0.0164,5.8262279410622,6.18265434226471,-0.356426401202516
0.0166,5.90550324695529,6.25805256595087,-0.35254931899558
0.0168,5.98500192603474,5.99081043787867,-0.00580851184393349
0.017,6.06478669582855,6.0638566628722,0.000930032956348192
0.0172,6.14493215126811,6.13867460757979,0.00625754368832343
0.0174,6.22543583373258,6.21467165764214,0.0107641760904373
0.0176,0.0231853474202737,0.00913951746770436,0.0140458299525693
0.0178,0.104513573349571,0.0898756167050207,0.0146379566445498
0.018,0.186103625657021,0.174410961379235,0.0116926642777858
0.0182,0.267694074768991,0.261593638666236,0.00610043610275507
0.0184,0.348997035384455,0.349249388991383,-0.000252353606927991
0.0186,0.429827592513257,0.436012761161201,-0.00618516864794366
0.0188,0.510088687258454,0.521767746275522,-0.0116790590170686
0.019,0.589791697974572,0.606859331981115,-0.0170676340065429
0.0192,0.669017364648714,0.691084383047906,-0.0220670183991916
0.0194,0.74791773545688,0.773793593398795,-0.0258758579419157
0.0196,0.826687757508263,0.854620764334355,-0.0279330068260921
0.0198,0.905472501039752,0.933946336525739,-0.0284738354859879
